"","WQ_Station_Name","River.Type","River.Name","Date","pH","DO","BOD","COD","SS","TN","TP","TOC","WT","EC","DTN","NH3N","NO3N","DTP","PO4P","Chlorophyll"
"71","M8","M","ND",2001-04-23,8.2,10,2.1,4.7,12,3.656,0.053,NA,17,260,NA,0.704,2.076,NA,NA,NA
"72","M7","M","ND",2001-04-23,8.1,9.8,1.9,4.7,10.3,3.373,0.044,NA,17,275,NA,0.656,2.458,NA,NA,NA
"73","M10","M","ND",2001-04-26,8.8,13,4.9,11.1,22.9,4.917,0.201,NA,13,465,NA,0.162,4.37,NA,0.064,50.2
"74","T7b","T","KH",2001-04-26,8.1,10.5,7,15.5,16.7,12.333,0.726,NA,15,1040,NA,0.377,8.604,NA,0.674,46.2
"75","T11b","T","MR",2001-04-27,9.4,16.7,5.6,8.5,12.5,3.975,0.135,NA,14,140,NA,0.122,2.76,NA,NA,NA
"76","M15","M","ND",2001-04-27,9.3,16.6,5,7.5,22.5,4.028,0.143,NA,14,240,NA,0.019,3.011,NA,NA,NA
"77","M1","M","ND",2001-04-27,7.7,12.1,1,3.8,1.2,1.768,0.018,NA,8,150,NA,0.066,1.491,NA,0.013,2
"78","T11a","T","MR",2001-04-27,8.5,14.4,2.6,4.2,9,3.619,0.07,NA,16,140,NA,0.252,2.569,NA,NA,NA
"79","T7a","T","KH",2001-04-29,8.6,11.7,7.5,13.3,12.1,11.095,0.787,NA,14,485,NA,0.7,9.036,NA,0.755,21.3
"80","T8a","T","HO",2001-04-30,8.5,12.7,1.8,3.8,4,2.195,0.07,NA,9,93,NA,0.105,1.734,NA,NA,NA
"81","T11b","T","MR",2001-05-02,9.4,17,7.1,8.3,21,3.364,0.211,NA,20,210,NA,0.207,1.464,NA,NA,NA
"82","M15","M","ND",2001-05-02,8.7,13.4,4.8,7.6,13.5,3.942,0.115,NA,18,330,NA,0.077,2.099,NA,NA,NA
"83","M1","M","ND",2001-05-02,7.6,11.3,1.1,3.4,1.1,1.674,0.041,NA,9,158,NA,0.027,1.499,NA,0.009,2.7
"84","T11a","T","MR",2001-05-02,9.2,16.2,5.8,5.5,9.5,3.112,0.134,NA,23,200,NA,0.411,1.869,NA,NA,NA
"85","M6","M","ND",2001-05-03,8.2,10.3,2,4.2,14.2,2.066,0.067,NA,20,150,NA,0.03,1.872,NA,NA,NA
"86","M4","M","ND",2001-05-03,7.9,9.9,1.3,3.8,7.6,2.306,0.054,NA,18,150,NA,0.025,1.964,NA,NA,NA
"87","M5","M","ND",2001-05-03,7.8,9.9,1.2,3.4,8.8,2.315,0.039,NA,18,150,NA,0.013,1.827,NA,NA,NA
"88","T9a","T","HG",2001-05-03,8,9.4,0.8,2.7,13,1.355,0.024,NA,16,90,NA,0.025,1.242,NA,NA,NA
"89","T7a","T","KH",2001-05-04,8.8,11,6.2,12.2,10.5,11.372,0.734,NA,21,575,NA,0.4,9.022,NA,0.394,76.6
"90","T5a","T","WE",2001-05-08,8.4,10.5,2.3,4.2,9,1.957,0.029,NA,26,250,NA,0.028,0.996,NA,NA,NA
"91","T3b","T","YG",2001-05-09,8.5,11.5,0.8,1.8,3,0.802,0.038,NA,27,261,NA,0.031,0.6,NA,NA,NA
"92","T3a","T","YG",2001-05-09,8.5,11.1,0.9,2.2,7.2,0.571,0.019,NA,26,261,NA,0.045,0.4,NA,NA,NA
"93","T8a","T","HO",2001-05-11,8.4,10,2.4,4.6,5.2,2.244,0.092,NA,26,150,NA,0.043,1.118,NA,NA,NA
"94","M8","M","ND",2001-05-23,8.6,11.6,3,6,13.4,2.463,0.103,NA,20,270,NA,0.167,2.013,NA,NA,NA
"95","M7","M","ND",2001-05-23,8.5,11.9,2.8,6.1,15.2,2.79,0.104,NA,20,240,NA,0.183,1.982,NA,NA,NA
"96","M14","M","ND",2001-05-24,8.3,11.1,4.2,7,17.6,4.169,0.156,NA,19,390,NA,0.142,2.899,NA,0.121,81.8
"97","M10","M","ND",2001-05-30,8.2,8.8,5.8,11,16.7,5.73,0.314,NA,19,723,NA,0.344,4.838,NA,0.215,34.6
"98","T7b","T","KH",2001-05-30,7.9,8.1,6.4,14.9,12.4,12.823,0.818,NA,19,1223,NA,0.564,9.927,NA,0.8,91.9
"99","M9","M","ND",2001-05-30,8.9,10.7,3,7.1,9.1,2.113,0.058,NA,19,280,NA,0.028,1.773,NA,NA,NA
"100","M11","M","ND",2001-05-30,8.3,8.6,6,12.2,15.8,6.712,0.333,NA,21,708,NA,0.348,4.754,NA,NA,NA
"101","T8a","T","HO",2001-06-01,9.4,11.3,3.6,7.5,7.3,1.536,0.124,NA,28,180,NA,0.205,1.138,NA,0.042,32.5
"102","M6","M","ND",2001-06-04,8.5,10,2.1,4,3,1.714,0.05,NA,26,190,NA,0.04,1.401,NA,0.044,22.9
"103","M4","M","ND",2001-06-04,8.1,9.4,1.3,2.4,3,2.344,0.041,NA,26,190,NA,0.042,1.532,NA,0.032,5.5
"104","M5","M","ND",2001-06-04,8.1,9.5,1.4,3.2,2.3,2.317,0.052,NA,26,190,NA,0.038,1.535,NA,0.049,9.1
"105","T5a","T","WE",2001-06-07,7.3,10.6,1.4,2.8,4.5,0.985,0.043,NA,28,270,NA,0.128,0.575,NA,0.037,3.8
"106","T9a","T","HG",2001-06-07,8.2,8.4,0.8,2.6,10.6,1.528,0.07,NA,26,95,NA,0,0.976,NA,NA,4.3
"107","T3b","T","YG",2001-06-13,8.3,9.3,0.9,1.7,7.1,0.47,0.01,NA,25,228,NA,0.007,0.408,NA,0.008,0.4
"108","T3a","T","YG",2001-06-13,8.3,9.5,0.8,3.3,30,0.446,0.029,NA,25,300,NA,0.004,0.41,NA,0.01,0.3
"109","M8","M","ND",2001-06-22,7.8,8.8,3.9,6.6,11.5,2.936,0.148,NA,26,330,NA,0.655,1.349,NA,0.06,37.2
"110","M7","M","ND",2001-06-22,7.7,9,3.9,6.7,13.8,2.729,0.122,NA,26,330,NA,0.61,1.339,NA,0.042,33.4
"111","M14","M","ND",2001-06-23,8.2,8.5,3.2,6.9,19.1,2.729,0.157,NA,23,460,NA,0.047,2.325,NA,0.041,43.7
"112","M10","M","ND",2001-06-28,8.7,11.1,7,13.7,18.4,6.086,0.415,NA,25,970,NA,0.295,4.668,NA,0.415,20
"113","T7b","T","KH",2001-06-28,8,7.7,6.1,14.2,15.4,8.597,0.793,NA,24,1275,NA,0.228,7.257,NA,0.631,57.9
"114","M9","M","ND",2001-06-28,8.4,9.4,3.8,6.8,9.6,1.936,0.051,NA,24,358,NA,0.168,1.248,NA,0.032,24.5
"115","M11","M","ND",2001-06-28,8.5,9.9,6.6,12.2,17.7,5.673,0.467,NA,25,895,NA,0.182,5.163,NA,0.321,26.8
"116","T7a","T","KH",2001-06-28,7.9,8.1,6.3,10.9,10.1,7.963,0.876,NA,23,603,NA,0.155,6.909,NA,0.782,59.4
"117","T11b","T","MR",2001-06-29,9,10.4,7.9,6.2,17,2.336,0.178,NA,23,200,NA,0.375,1.259,NA,0.045,110.9
"118","M15","M","ND",2001-06-29,8.4,9.9,3.4,6.7,9.5,3.069,0.11,NA,24,410,NA,0.099,2.082,NA,0.035,58.1
"119","M1","M","ND",2001-06-29,7.4,10.6,1,3.7,1.1,1.782,0.054,NA,11,168,NA,0.062,1.484,NA,0.03,1.2
"120","T11a","T","MR",2001-06-29,6.9,7.9,2.4,3.2,4.5,1.656,0.048,NA,19,160,NA,0.078,1.533,NA,0.023,7.1
"121","M10","M","ND",2001-07-02,7.7,8,4,7.8,23.1,4.558,0.162,NA,26,283,NA,0.145,3.552,NA,0.047,49
"122","T7b","T","KH",2001-07-02,7.5,7.8,5.2,9.4,14.9,6.618,0.289,NA,26,515,NA,0.187,5.835,NA,0.079,146.8
"123","M9","M","ND",2001-07-02,8,8.9,2.5,6.4,21.2,3.701,0.114,NA,26,203,NA,0.081,2.797,NA,NA,NA
"124","M11","M","ND",2001-07-02,7.7,7.7,3.8,7.8,24.2,4.753,0.168,NA,27,275,NA,0.081,3.41,NA,NA,NA
"125","T11b","T","MR",2001-07-03,9.3,11.8,4.5,3,3,4.089,0.067,NA,29,165,NA,0.286,3.861,NA,NA,NA
"126","M15","M","ND",2001-07-03,7.5,6.8,2,4.7,28,2.788,0.096,NA,27,155,NA,0.101,2.673,NA,NA,NA
"127","M1","M","ND",2001-07-03,7.3,8.6,1.1,3.7,2.2,1.935,0.015,NA,17,178,NA,0.057,1.58,NA,0.009,5.7
"128","T11a","T","MR",2001-07-03,8.1,7.6,4.2,2.4,3,4.121,0.062,NA,28,150,NA,0.267,3.704,NA,NA,NA
"129","M6","M","ND",2001-07-05,7.7,8.3,1.5,5,11,3.302,0.027,NA,29,200,NA,0.022,3.171,NA,NA,NA
"130","M4","M","ND",2001-07-05,7.6,8.1,1.3,4.2,4.2,3.237,0.025,NA,29,200,NA,0.028,3.145,NA,NA,NA
"131","M5","M","ND",2001-07-05,7.7,8.4,1.4,4.6,6.4,3.182,0.029,NA,29,200,NA,0.03,3.123,NA,NA,NA
"132","T3b","T","YG",2001-07-06,7.9,10.5,1.3,3.2,2.9,2.285,0.005,NA,28,179,NA,0.003,2.1,NA,NA,NA
"133","T3a","T","YG",2001-07-06,7.9,8.9,0.8,2.8,1.2,3.269,0.005,NA,27,190,NA,0.003,3,NA,NA,NA
"134","T8a","T","HO",2001-07-06,7.2,8.1,1.7,5.8,9.2,1.773,0.098,NA,25,120,NA,0.1,1.664,NA,NA,NA
"135","T5a","T","WE",2001-07-10,7.9,9.1,1.5,4.2,5.6,3.682,0.046,NA,30,290,NA,0.048,3.354,NA,NA,NA
"136","T9a","T","HG",2001-07-12,7.9,7.5,0.9,6.8,22.2,0.792,0.165,NA,21,83,NA,0.103,0.602,NA,NA,NA
"137","M14","M","ND",2001-07-25,7.6,6.7,2.7,5.8,77.6,2.866,0.191,NA,26,155,NA,0.074,2.457,NA,0.074,25
"138","M8","M","ND",2001-07-26,7.6,8.2,1.8,5.6,8.9,3.737,0.026,NA,26,180,NA,0.035,3.491,NA,NA,NA
"139","M7","M","ND",2001-07-26,7.6,8,1.8,5.2,9,3.737,0.032,NA,26,170,NA,0.032,3.472,NA,NA,NA
"140","T7a","T","KH",2001-07-27,7.8,7.8,4.6,9.5,15.2,8.516,0.293,NA,25,368,NA,0.126,6.93,NA,0.073,32
"141","T11b","T","MR",2001-08-01,9,6.6,2.5,4,6,2.953,0.091,NA,31,180,NA,0.274,2.62,NA,NA,NA
"142","M15","M","ND",2001-08-01,9.2,6.5,2.9,4.7,15.5,1.967,0.154,NA,31,250,NA,0.3,1.559,NA,NA,NA
"143","T3b","T","YG",2001-08-01,7.8,8.8,0.7,3.9,3,1.448,0.048,NA,25,182,NA,0.011,0.944,NA,NA,NA
"144","T11a","T","MR",2001-08-01,9.3,7,1.4,3.5,2,2.498,0.043,NA,31,170,NA,0.106,2.323,NA,NA,NA
"145","T7a","T","KH",2001-08-02,8.7,10.4,5.1,9.9,11.9,4.572,0.318,NA,30,473,NA,0.147,4.093,NA,0.423,33
"146","T3a","T","YG",2001-08-02,7.8,8.6,0.7,3,6.9,2.65,0.024,NA,25,207,NA,0.01,1.869,NA,NA,NA
"147","M6","M","ND",2001-08-06,7.8,9.5,1.6,3.2,5.3,2.647,0.043,NA,29,190,NA,0.107,2.317,NA,NA,NA
"148","M4","M","ND",2001-08-06,7.8,9.1,1.5,3.2,7,2.621,0.043,NA,29,190,NA,0.107,2.401,NA,NA,NA
"149","M5","M","ND",2001-08-06,7.8,8.9,1.7,3.4,6.1,2.7,0.072,NA,29,190,NA,0.107,2.335,NA,NA,NA
"150","T9a","T","HG",2001-08-06,7.7,7.9,0.9,2.3,9.1,1.716,0.033,NA,27,104,NA,0.115,1.086,NA,NA,NA
"151","T5a","T","WE",2001-08-07,7.8,10.5,1.7,4.4,5.5,1.782,0.036,NA,30,240,NA,0.163,1.446,NA,NA,NA
"152","T8a","T","HO",2001-08-10,7.5,7,2.2,5.4,4.6,1.588,0.05,NA,29,130,NA,0.163,1.389,NA,NA,NA
"153","M8","M","ND",2001-08-24,7.5,9,2.6,4.3,9.4,3.449,0.048,NA,30,215,NA,0.137,2.686,NA,NA,NA
"154","M7","M","ND",2001-08-24,7.4,9.4,2.2,3.7,8.6,3.402,0.036,NA,30,210,NA,0.107,2.944,NA,NA,NA
"155","M14","M","ND",2001-08-25,8,7.6,3.6,5.8,20.9,2.291,0.13,NA,29,211,NA,0.134,1.632,NA,0.072,53.4
"156","M10","M","ND",2001-08-30,8.4,8,4.8,7.9,16.6,3.127,0.148,NA,30,360,NA,0.169,2.737,NA,0.09,38.1
"157","T7b","T","KH",2001-08-30,7.7,6.6,5.2,11.4,13.7,5.909,0.4,NA,29,780,NA,0.308,5.317,NA,0.361,50.9
"158","M9","M","ND",2001-08-30,8.1,8.7,3,5.9,12.7,2.508,0.061,NA,29,228,NA,0.158,2.129,NA,NA,NA
"159","M11","M","ND",2001-08-30,8.4,8.7,4.5,8,17.7,3.107,0.146,NA,30,358,NA,0.148,2.675,NA,NA,NA
"160","M1","M","ND",2001-08-31,7.1,5.2,1.2,4.4,8.3,2.29,0.05,NA,22,155,NA,0.135,2.063,NA,0.024,2.4
"161","M11","M","ND",2001-09-03,8.4,8.4,4.5,9,19.2,3.824,0.259,NA,26,560,NA,0.378,2.542,NA,0.107,29.2
"162","T5a","T","WE",2001-09-04,7.8,11.4,2.5,6.2,2.6,1.478,0.023,NA,29,280,NA,0.1,1.03,NA,0.009,5.9
"163","T9a","T","HG",2001-09-05,8.1,8.1,0.3,1.5,6.2,0.469,0.18,NA,22,97,NA,0.039,0.293,NA,0.01,1.1
"164","T3b","T","YG",2001-09-06,7.5,10.8,1,2.4,8.2,1.733,0.014,NA,28,324,NA,0.005,1.707,NA,0.009,0.5
"165","T3a","T","YG",2001-09-06,7.5,10,2.9,3,12.1,1.886,0.024,NA,29,314,NA,0.009,1.765,NA,0.016,0.4
"166","M6","M","ND",2001-09-13,7.6,8.4,1.2,3.4,20.1,2.075,0.084,NA,23,180,NA,0.043,1.537,NA,0.016,17.2
"167","M4","M","ND",2001-09-13,7.5,9.8,0.8,3.6,19,2.481,0.097,NA,22,180,NA,0.023,1.754,NA,0.009,9.8
"168","M5","M","ND",2001-09-13,7.6,8.8,0.8,3.6,10.8,2.572,0.071,NA,23,190,NA,0.032,1.675,NA,0.011,11.1
"169","T8a","T","HO",2001-09-14,8.6,12.3,1.8,3,1.9,1.446,0.024,NA,24,150,NA,0.095,0.94,NA,0.014,17.5
"170","M14","M","ND",2001-09-21,8.5,8.2,3.5,5.9,22.1,1.972,0.152,NA,27,296,NA,0.097,1.686,NA,0.025,89
"171","M10","M","ND",2001-09-27,8.4,8.4,4.4,10,17.7,4.183,0.274,NA,28,622,NA,0.452,2.872,NA,0.178,28.6
"172","T7b","T","KH",2001-09-27,7.9,7.1,4.4,10.2,12.1,6.848,0.514,NA,27,905,NA,0.588,4.903,NA,0.368,35.1
"173","M9","M","ND",2001-09-27,8.1,8.1,2.5,5.6,11.7,2.59,0.077,NA,27,283,NA,0.194,1.648,NA,0.041,8.2
"174","M8","M","ND",2001-09-27,7.7,7.3,2,4.6,18,2.554,0.102,NA,26,240,NA,0.056,1.815,NA,0.034,11.9
"175","M7","M","ND",2001-09-27,7.8,8.5,2.1,4.9,15.2,3.097,0.135,NA,26,325,NA,0.135,2.165,NA,0.023,20.4
"176","T11b","T","MR",2001-09-28,8.4,8.1,2.9,4.2,7,2.151,0.082,NA,25,180,NA,0.054,2.016,NA,0.029,38.8
"177","M15","M","ND",2001-09-28,8.3,8,3.5,4.8,17.5,1.794,0.154,NA,25,220,NA,0.034,1.559,NA,0.04,65.4
"178","M1","M","ND",2001-09-28,6.8,4.1,1.1,4.2,4,2.305,0.02,NA,22,155,NA,0.048,1.68,NA,0.002,2.7
"179","T11a","T","MR",2001-09-28,8.1,8,1.2,3.1,2,1.401,0.053,NA,25,130,NA,0.058,1.305,NA,0.036,3.4
"180","T7a","T","KH",2001-09-30,8.7,10.4,4.4,9.3,10.5,8.039,0.626,NA,26,485,NA,0.474,6.324,NA,0.435,21.5
"181","M10","M","ND",2001-10-04,8.8,10.2,3.8,7.3,15.1,3.747,0.29,NA,20,373,NA,0.12,2.734,NA,0.024,21.3
"182","T7b","T","KH",2001-10-04,7.9,7.4,3.6,8.5,8.7,6.936,0.556,NA,20,680,NA,0.302,5.18,NA,0.084,18.6
"183","M9","M","ND",2001-10-04,8.6,10,2.2,4.8,9.7,2.588,0.089,NA,20,238,NA,0.129,1.665,NA,NA,NA
"184","T11b","T","MR",2001-10-04,8.7,7,1.2,3.8,5,1.361,0.067,NA,22,150,NA,0.088,1.291,NA,NA,NA
"185","M15","M","ND",2001-10-04,8.4,7.9,3.6,6.3,16,2.663,0.154,NA,21,340,NA,0.134,2.17,NA,NA,NA
"186","M1","M","ND",2001-10-04,7.6,7.1,1.1,4.2,3.1,1.501,0.01,NA,21,158,NA,0.031,1.3,NA,0.003,5.7
"187","T11a","T","MR",2001-10-04,8.8,7.5,1.1,2.7,2,1.196,0.053,NA,21,130,NA,0.005,1.304,NA,NA,NA
"188","M11","M","ND",2001-10-04,8.8,10.4,4,7.7,18.6,4.163,0.298,NA,21,358,NA,0.234,2.795,NA,NA,NA
"189","T7a","T","KH",2001-10-05,8.4,9.9,3.4,7.3,7.8,6.333,0.495,NA,21,400,NA,0.312,4.689,NA,0.068,16.8
